,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
480,Ross Barkley,ENG,MF,Chelsea,26,2,0,42,0.5,0,0,185.0,right,22000000.0,2020.0
481,Ashley Barnes,ENG,FW,Burnley,30,22,15,1331,14.8,3,0,186.0,right,3850000.0,2020.0
482,Harvey Barnes,ENG,MF,Leicester City,22,25,22,1945,21.6,9,4,182.0,right,38500000.0,2020.0
483,Kyle Bartley,ENG,DF,West Brom,29,30,28,2584,28.7,3,1,194.0,right,2750000.0,2020.0
484,Chris Basham,ENG,MF,Sheffield Utd,32,31,31,2576,28.6,0,1,190.0,right,2200000.0,2020.0
485,Michy Batshuayi,BEL,FW,Crystal Palace,26,18,7,728,8.1,2,1,185.0,right,11000000.0,2020.0
486,Michy Batshuayi,BEL,FW,Crystal Palace,26,18,7,728,8.1,2,1,185.0,right,11000000.0,2020.0
487,Jan Bednarek,POL,DF,Southampton,24,36,36,3100,34.4,1,1,189.0,right,27500000.0,2020.0
488,Donny van de Beek,NED,FW,Manchester Utd,23,19,4,524,5.8,1,1,184.0,right,33000000.0,2020.0
489,Héctor Bellerín,ESP,DF,Arsenal,25,25,24,2089,23.2,1,2,178.0,right,27500000.0,2020.0
490,Saïd Benrahma,ALG,MF,West Ham,24,30,14,1391,15.5,1,6,172.0,right,24200000.0,2020.0
491,Josh Benson,ENG,MF,Burnley,20,6,2,264,2.9,0,0,175.0,right,440000.0,2020.0
492,Christian Benteke,BEL,FW,Crystal Palace,29,30,21,1816,20.2,10,1,190.0,right,9900000.0,2020.0
493,Gaetano Berardi,SUI,DF,Leeds United,31,2,1,113,1.3,0,0,179.0,right,330000.0,2020.0
494,Sander Berge,NOR,MF,Sheffield Utd,22,15,13,1120,12.4,1,1,195.0,right,19800000.0,2020.0
495,Steven Bergwijn,NED,MF,Tottenham,22,21,13,1208,13.4,1,3,178.0,right,24200000.0,2020.0
496,Bernard,BRA,FW,Everton,27,12,3,455,5.1,1,0,164.0,right,13200000.0,2020.0
497,Bernardo,BRA,MF,Brighton,25,3,2,206,2.3,0,0,186.0,left,4400000.0,2020.0
498,Ryan Bertrand,ENG,DF,Southampton,30,29,29,2598,28.9,0,1,179.0,left,8800000.0,2020.0
499,Yves Bissouma,MLI,MF,Brighton,23,36,35,3111,34.6,1,0,182.0,right,27500000.0,2020.0
500,Jayden Bogle,ENG,DF,Sheffield Utd,20,16,12,1110,12.3,2,0,178.0,right,7700000.0,2020.0
501,Willy Boly,CIV,DF,Wolves,29,21,21,1879,20.9,1,1,195.0,right,15400000.0,2020.0
502,Jarrod Bowen,ENG,MF,West Ham,23,38,30,2562,28.5,8,5,175.0,left,33000000.0,2020.0
503,Robbie Brady,IRL,MF,Burnley,28,19,12,1052,11.7,1,1,176.0,left,3300000.0,2020.0
504,Rhian Brewster,ENG,FW,Sheffield Utd,20,27,12,1128,12.5,0,0,180.0,right,13200000.0,2020.0
505,Rhian Brewster,ENG,FW,Sheffield Utd,20,27,12,1128,12.5,0,0,180.0,right,13200000.0,2020.0
506,Nathan Broadhead,WAL,MF,Everton,22,1,0,3,0.0,0,0,178.0,right,550000.0,2020.0
507,Josh Brownhill,ENG,MF,Burnley,24,33,32,2813,31.3,0,1,179.0,right,7700000.0,2020.0
508,Joe Bryan,ENG,FW,Fulham,26,16,7,669,7.4,1,0,173.0,left,5500000.0,2020.0
509,Kean Bryan,ENG,DF,Sheffield Utd,23,13,12,1004,11.2,1,0,185.0,left,2200000.0,2020.0
510,Oliver Burke,SCO,FW,Sheffield Utd,23,25,14,1269,14.1,1,1,188.0,right,6600000.0,2020.0
511,Dan Burn,ENG,DF,Brighton,28,27,23,2061,22.9,1,0,201.0,left,5500000.0,2020.0
512,Jack Butland,ENG,GK,Crystal Palace,27,1,1,90,1.0,0,0,196.0,right,2200000.0,2020.0
513,David Button,ENG,GK,West Brom,31,1,1,90,1.0,0,0,191.0,right,1100000.0,2020.0
514,Oskar Buur,DEN,DF,Wolves,22,1,0,22,0.2,0,0,180.0,right,330000.0,2020.0
515,Willy Caballero,ARG,GK,Chelsea,38,1,1,90,1.0,0,0,186.0,right,275000.0,2020.0
516,Gary Cahill,ENG,DF,Crystal Palace,34,20,20,1800,20.0,1,1,193.0,right,1650000.0,2020.0
517,Tom Cairney,SCO,MF,Fulham,29,10,9,759,8.4,1,1,185.0,left,9900000.0,2020.0
518,Dominic Calvert-Lewin,ENG,FW,Everton,23,33,32,2871,31.9,16,0,189.0,right,49500000.0,2020.0
519,João Cancelo,POR,DF,Manchester City,26,28,27,2299,25.5,2,3,182.0,right,60500000.0,2020.0
520,Andy Carroll,ENG,FW,Newcastle Utd,31,18,4,392,4.4,1,0,193.0,left,1650000.0,2020.0
521,Scott Carson,ENG,GK,Manchester City,34,1,1,90,1.0,0,0,188.0,right,550000.0,2020.0
522,Matty Cash,ENG,DF,Aston Villa,22,28,28,2372,26.4,0,2,185.0,right,24200000.0,2020.0
523,Kiko Casilla,ESP,GK,Leeds United,33,3,3,270,3.0,0,0,190.0,right,880000.0,2020.0
524,Timothy Castagne,BEL,DF,Leicester City,24,27,27,2345,26.1,2,3,185.0,right,30800000.0,2020.0
525,Ivan Cavaleiro,POR,MF,Fulham,26,36,27,2472,27.5,3,0,175.0,right,7700000.0,2020.0
526,Edinson Cavani,URU,FW,Manchester Utd,33,26,13,1375,15.3,10,3,184.0,right,6600000.0,2020.0
527,Dani Ceballos,ESP,MF,Arsenal,23,25,17,1615,17.9,0,3,179.0,right,29700000.0,2020.0
528,Calum Chambers,ENG,DF,Arsenal,25,10,8,753,8.4,0,2,182.0,right,13200000.0,2020.0
529,Ben Chilwell,ENG,DF,Chelsea,23,27,27,2286,25.4,3,5,180.0,left,49500000.0,2020.0
530,Hamza Choudhury,ENG,MF,Leicester City,22,10,4,316,3.5,0,0,178.0,right,7700000.0,2020.0
531,Andreas Christensen,DEN,DF,Chelsea,24,17,15,1371,15.2,0,0,188.0,right,33000000.0,2020.0
532,Carney Chukwuemeka,ENG,MF,Aston Villa,16,2,0,20,0.2,0,0,185.0,right,1100000.0,2020.0
533,Ciaran Clark,IRL,DF,Newcastle Utd,30,22,21,1891,21.0,1,0,188.0,left,3300000.0,2020.0
534,Nathaniel Clyne,ENG,DF,Crystal Palace,29,13,13,1145,12.7,0,1,175.0,right,3300000.0,2020.0
535,Conor Coady,ENG,DF,Wolves,27,37,37,3303,36.7,1,0,185.0,right,27500000.0,2020.0
536,Aaron Connolly,IRL,FW,Brighton,20,17,9,791,8.8,2,1,175.0,right,7700000.0,2020.0
537,Liam Cooper,SCO,DF,Leeds United,28,25,25,2185,24.3,1,0,186.0,left,7700000.0,2020.0
538,Theo Corbeanu,CAN,FW,Wolves,18,1,0,9,0.1,0,0,190.0,-,550000.0,2020.0
539,Jack Cork,ENG,MF,Burnley,31,16,15,1350,15.0,0,0,185.0,right,5500000.0,2020.0
540,Hélder Costa,POR,FW,Leeds United,26,22,13,1156,12.8,3,3,179.0,left,11000000.0,2020.0
541,Aaron Cresswell,ENG,DF,West Ham,30,36,36,3170,35.2,0,8,170.0,left,5500000.0,2020.0
542,Patrick Cutrone,ITA,FW,Wolves,22,2,0,25,0.3,0,0,183.0,right,9900000.0,2020.0
543,Stuart Dallas,NIR,MF,Leeds United,29,38,38,3409,37.9,8,2,183.0,right,4400000.0,2020.0
544,Scott Dann,ENG,DF,Crystal Palace,33,15,15,1350,15.0,1,0,194.0,right,1650000.0,2020.0
545,Karl Darlow,ENG,GK,Newcastle Utd,29,25,25,2250,25.0,0,0,190.0,right,3300000.0,2020.0
546,Ben Davies,WAL,DF,Tottenham,27,20,14,1346,15.0,0,1,185.0,left,3300000.0,2020.0
547,Ben Davies,WAL,DF,Tottenham,27,20,14,1346,15.0,0,1,181.0,left,17600000.0,2020.0
548,Tom Davies,ENG,MF,Everton,22,25,17,1423,15.8,0,1,180.0,right,19800000.0,2020.0
549,Keinan Davis,ENG,MF,Aston Villa,22,15,1,277,3.1,1,1,189.0,left,3300000.0,2020.0
550,Leif Davis,ENG,DF,Leeds United,20,2,0,33,0.4,0,0,180.0,left,880000.0,2020.0
551,Craig Dawson,ENG,DF,West Ham,30,22,22,1925,21.4,3,0,188.0,right,5500000.0,2020.0
552,Craig Dawson,ENG,DF,West Ham,30,22,22,1925,21.4,3,0,188.0,right,5280000.0,2020.0
553,Kevin De Bruyne,BEL,MF,Manchester City,29,25,23,1997,22.2,6,12,181.0,right,110000000.0,2020.0
554,Liam Delap,ENG,FW,Manchester City,17,1,0,40,0.4,0,0,186.0,right,1100000.0,2020.0
555,Fabian Delph,ENG,DF,Everton,30,8,2,266,3.0,0,0,174.0,left,3850000.0,2020.0
556,Leander Dendoncker,BEL,DF,Wolves,25,33,28,2503,27.8,1,0,188.0,right,33000000.0,2020.0
557,Mbaye Diagne,SEN,FW,West Brom,28,16,14,1189,13.2,3,2,191.0,right,3300000.0,2020.0
558,Amad Diallo,CIV,FW,Manchester Utd,18,3,2,166,1.8,0,1,173.0,left,19800000.0,2020.0
559,Ibrahima Diallo,FRA,MF,Southampton,21,22,10,1020,11.3,0,0,179.0,right,16500000.0,2020.0
560,Grady Diangana,ENG,FW,West Brom,22,20,15,1235,13.7,1,0,180.0,left,11000000.0,2020.0
561,Rúben Dias,POR,DF,Manchester City,23,32,32,2843,31.6,1,0,187.0,right,82500000.0,2020.0
562,Eric Dier,ENG,DF,Tottenham,26,28,28,2520,28.0,0,0,188.0,right,24200000.0,2020.0
563,Lucas Digne,FRA,DF,Everton,27,30,30,2681,29.8,0,7,178.0,left,38500000.0,2020.0
564,Virgil van Dijk,NED,DF,Liverpool,29,5,5,370,4.1,1,0,193.0,right,60500000.0,2020.0
565,Issa Diop,FRA,DF,West Ham,23,18,15,1381,15.3,2,0,194.0,right,19800000.0,2020.0
566,Moussa Djenepo,MLI,MF,Southampton,22,27,15,1240,13.8,1,0,177.0,right,14300000.0,2020.0
567,Matt Doherty,IRL,DF,Tottenham,28,17,13,1240,13.8,0,2,185.0,right,17600000.0,2020.0
568,Abdoulaye Doucouré,FRA,MF,Everton,27,29,29,2443,27.1,2,3,183.0,right,27500000.0,2020.0
569,Abdoulaye Doucouré,FRA,MF,Everton,27,29,29,2443,27.1,2,3,183.0,right,22000000.0,2020.0
570,Paul Dummett,WAL,DF,Newcastle Utd,28,15,14,1255,13.9,1,0,183.0,left,3300000.0,2020.0
571,Lewis Dunk,ENG,DF,Brighton,28,33,33,2931,32.6,5,0,192.0,right,27500000.0,2020.0
572,Jimmy Dunne,IRL,DF,Burnley,22,3,3,270,3.0,1,0,191.0,right,660000.0,2020.0
573,Ederson,BRA,GK,Manchester City,26,36,36,3240,36.0,0,1,188.0,left,55000000.0,2020.0
574,Kyle Edwards,ENG,FW,West Brom,22,5,1,118,1.3,0,0,178.0,right,1100000.0,2020.0
575,John Egan,IRL,DF,Sheffield Utd,27,31,30,2629,29.2,0,1,185.0,right,9900000.0,2020.0
576,Anthony Elanga,SWE,FW,Manchester Utd,18,2,2,155,1.7,1,0,178.0,right,880000.0,2020.0
577,Ahmed Elmohamady,EGY,DF,Aston Villa,32,14,8,839,9.3,0,0,182.0,right,1650000.0,2020.0
578,Mohamed Elneny,EGY,MF,Arsenal,28,23,17,1544,17.2,1,0,179.0,right,11000000.0,2020.0
579,Jonny Evans,NIR,DF,Leicester City,32,28,28,2473,27.5,2,2,188.0,both,7700000.0,2020.0
580,Eberechi Eze,ENG,MF,Crystal Palace,22,34,29,2559,28.4,4,6,173.0,right,22000000.0,2020.0
581,Fabinho,BRA,MF,Liverpool,26,30,28,2567,28.5,0,0,188.0,right,66000000.0,2020.0
582,Bruno Fernandes,POR,MF,Manchester Utd,25,37,35,3099,34.4,18,12,179.0,right,99000000.0,2020.0
583,Federico Fernández,ARG,DF,Newcastle Utd,31,24,24,2079,23.1,0,0,190.0,right,3300000.0,2020.0
584,Fernandinho,BRA,MF,Manchester City,35,21,12,1188,13.2,0,2,179.0,right,2200000.0,2020.0
585,Sam Field,ENG,MF,West Brom,22,3,0,62,0.7,0,0,191.0,left,1100000.0,2020.0
586,Roberto Firmino,BRA,FW,Liverpool,28,36,33,2838,31.5,9,7,181.0,right,55000000.0,2020.0
587,John Fleck,SCO,MF,Sheffield Utd,28,31,29,2575,28.6,0,2,169.0,left,5500000.0,2020.0
588,Phil Foden,ENG,MF,Manchester City,20,28,17,1616,18.0,9,5,171.0,left,88000000.0,2020.0
589,Wesley Fofana,FRA,DF,Leicester City,19,28,27,2262,25.1,0,0,190.0,right,44000000.0,2020.0
590,Pablo Fornals,ESP,MF,West Ham,24,33,31,2572,28.6,5,4,178.0,right,19800000.0,2020.0
591,Fraser Forster,ENG,GK,Southampton,32,8,8,720,8.0,0,0,201.0,right,3300000.0,2020.0
592,Timothy Fosu-Mensah,NED,DF,Manchester Utd,22,1,1,80,0.9,0,0,185.0,right,4400000.0,2020.0
593,Tyrese Francois,AUS,DF,Fulham,20,1,0,15,0.2,0,0,173.0,left,165000.0,2020.0
594,Ryan Fraser,SCO,MF,Newcastle Utd,26,18,9,928,10.3,0,2,163.0,right,11000000.0,2020.0
595,Ryan Fraser,SCO,MF,Newcastle Utd,26,18,9,928,10.3,0,2,163.0,right,19250000.0,2020.0
596,Fred,BRA,MF,Manchester Utd,27,30,27,2390,26.6,1,0,169.0,left,24200000.0,2020.0
597,Ryan Fredericks,ENG,FW,West Ham,27,14,6,569,6.3,1,1,181.0,right,2750000.0,2020.0
598,Christian Fuchs,AUT,DF,Leicester City,34,9,8,702,7.8,0,0,187.0,left,880000.0,2020.0
599,Darnell Furlong,ENG,DF,West Brom,24,35,32,2932,32.6,1,3,183.0,right,5500000.0,2020.0
600,Conor Gallagher,ENG,MF,West Brom,20,30,28,2531,28.1,2,2,182.0,right,16500000.0,2020.0
601,Conor Gallagher,ENG,MF,West Brom,20,30,28,2531,28.1,2,2,182.0,right,16500000.0,2020.0
602,Eric García,ESP,DF,Manchester City,19,6,3,383,4.3,0,0,182.0,right,22000000.0,2020.0
603,Dwight Gayle,ENG,MF,Newcastle Utd,29,18,4,514,5.7,1,1,174.0,right,4400000.0,2020.0
604,Jean-Philippe Gbamin,CIV,MF,Everton,24,1,0,12,0.1,0,0,186.0,right,16500000.0,2020.0
605,David de Gea,ESP,GK,Manchester Utd,29,26,26,2295,25.5,0,0,189.0,right,19800000.0,2020.0
606,Anwar El Ghazi,NED,FW,Aston Villa,25,28,17,1613,17.9,10,0,189.0,right,14300000.0,2020.0
607,Kieran Gibbs,ENG,DF,West Brom,30,10,9,809,9.0,0,0,181.0,left,2750000.0,2020.0
608,Morgan Gibbs-White,ENG,FW,Wolves,20,11,4,414,4.6,1,0,178.0,right,7700000.0,2020.0
609,Billy Gilmour,SCO,MF,Chelsea,19,5,3,261,2.9,0,0,170.0,right,11000000.0,2020.0
610,Olivier Giroud,FRA,FW,Chelsea,33,17,8,748,8.3,4,0,193.0,left,4400000.0,2020.0
611,Ben Godfrey,ENG,DF,Everton,22,31,29,2685,29.8,0,2,186.0,right,27500000.0,2020.0
612,Ben Godfrey,ENG,DF,Everton,22,31,29,2685,29.8,0,2,186.0,right,12650000.0,2020.0
613,André Gomes,POR,MF,Everton,27,28,17,1570,17.4,0,1,188.0,right,22000000.0,2020.0
614,Joe Gomez,ENG,DF,Liverpool,23,7,6,590,6.6,0,0,188.0,right,33000000.0,2020.0
615,Anthony Gordon,ENG,MF,Everton,19,3,1,88,1.0,0,0,182.0,right,5500000.0,2020.0
616,Karlan Grant,ENG,MF,West Brom,22,21,14,1127,12.5,1,0,183.0,right,8800000.0,2020.0
617,Demarai Gray,ENG,FW,Leicester City,24,1,0,19,0.2,0,0,183.0,right,8800000.0,2020.0
618,Jack Grealish,ENG,MF,Aston Villa,24,26,24,2185,24.3,6,10,180.0,right,71500000.0,2020.0
619,Mason Greenwood,ENG,FW,Manchester Utd,18,31,21,1822,20.2,7,2,181.0,both,55000000.0,2020.0
620,Pascal Groß,GER,DF,Brighton,29,34,27,2484,27.6,3,8,181.0,right,7700000.0,2020.0
621,Kamil Grosicki,POL,MF,West Brom,32,3,2,148,1.6,0,1,180.0,right,1100000.0,2020.0
622,Vicente Guaita,ESP,GK,Crystal Palace,33,37,37,3330,37.0,0,0,190.0,right,2200000.0,2020.0
623,Antwoine Hackford,ENG,DF,Sheffield Utd,16,1,0,11,0.1,0,0,177.0,right,110000.0,2020.0
624,Sébastien Haller,CIV,FW,West Ham,26,16,10,937,10.4,3,0,190.0,right,29700000.0,2020.0
625,Rekeem Harper,ENG,MF,West Brom,20,2,0,32,0.4,0,0,183.0,right,2750000.0,2020.0
626,Jack Harrison,ENG,MF,Leeds United,23,36,34,2847,31.6,8,8,175.0,left,16500000.0,2020.0
627,Jack Harrison,ENG,MF,Leeds United,23,36,34,2847,31.6,8,8,175.0,left,16500000.0,2020.0
628,Kortney Hause,ENG,DF,Aston Villa,25,7,7,630,7.0,1,0,191.0,left,5500000.0,2020.0
629,Kai Havertz,GER,FW,Chelsea,21,27,18,1520,16.9,4,3,189.0,left,77000000.0,2020.0
630,Isaac Hayden,ENG,DF,Newcastle Utd,25,24,22,1942,21.6,0,0,186.0,right,11000000.0,2020.0
631,Michael Hector,JAM,DF,Fulham,28,4,3,263,2.9,0,0,193.0,right,3850000.0,2020.0
632,Dean Henderson,ENG,GK,Manchester Utd,23,13,12,1125,12.5,0,0,188.0,right,24200000.0,2020.0
633,Jordan Henderson,ENG,DF,Liverpool,30,21,20,1704,18.9,1,1,187.0,right,22000000.0,2020.0
634,Jeff Hendrick,IRL,MF,Newcastle Utd,28,22,17,1422,15.8,2,1,185.0,right,9900000.0,2020.0
635,Pablo Hernández,ESP,FW,Leeds United,35,16,3,427,4.7,0,2,173.0,right,880000.0,2020.0
636,Ki-Jana Hoever,NED,DF,Wolves,18,12,5,577,6.4,0,0,183.0,right,7700000.0,2020.0
637,Rob Holding,ENG,DF,Arsenal,24,30,28,2558,28.4,0,1,189.0,right,19800000.0,2020.0
638,Mason Holgate,ENG,DF,Everton,23,28,26,2287,25.4,1,0,187.0,right,22000000.0,2020.0
639,Conor Hourihane,IRL,MF,Aston Villa,29,4,3,225,2.5,1,1,181.0,left,3850000.0,2020.0
640,Callum Hudson-Odoi,ENG,DF,Chelsea,19,23,10,1059,11.8,2,3,177.0,right,35200000.0,2020.0
641,Niall Huggins,WAL,DF,Leeds United,19,1,0,38,0.4,0,0,173.0,right,220000.0,2020.0
642,Odion Ighalo,NGA,FW,Manchester Utd,31,1,0,10,0.1,0,0,181.0,right,3850000.0,2020.0
643,Kelechi Iheanacho,NGA,FW,Leicester City,23,25,16,1459,16.2,12,2,185.0,left,22000000.0,2020.0
644,Danny Ings,ENG,FW,Southampton,28,29,26,2173,24.1,12,4,178.0,right,24200000.0,2020.0
645,Alex Iwobi,NGA,DF,Everton,24,30,17,1542,17.1,1,2,183.0,right,24200000.0,2020.0
646,José Izquierdo,COL,DF,Brighton,28,1,0,9,0.1,0,0,171.0,right,4400000.0,2020.0
647,Phil Jagielka,ENG,DF,Sheffield Utd,37,10,6,526,5.8,0,0,180.0,right,275000.0,2020.0
648,Alireza Jahanbakhsh,IRN,MF,Brighton,26,21,6,528,5.9,0,1,180.0,right,5500000.0,2020.0
649,Daniel James,WAL,FW,Manchester Utd,22,15,11,910,10.1,3,1,170.0,right,19800000.0,2020.0
650,Reece James,ENG,DF,Chelsea,20,32,25,2373,26.4,1,2,180.0,right,44000000.0,2020.0
651,Alexandre Jankewitz,SUI,MF,Southampton,18,2,1,3,0.0,0,0,185.0,right,550000.0,2020.0
652,Daniel Jebbison,ENG,FW,Sheffield Utd,17,4,3,284,3.2,1,0,190.0,-,1100000.0,2020.0
653,Gabriel Jesus,BRA,FW,Manchester City,23,29,22,2063,22.9,9,4,175.0,right,66000000.0,2020.0
654,Raúl Jiménez,MEX,FW,Wolves,29,10,10,823,9.1,4,0,188.0,right,30800000.0,2020.0
655,Joelinton,BRA,MF,Newcastle Utd,23,31,23,1983,22.0,4,2,186.0,right,18700000.0,2020.0
656,Ben Johnson,ENG,DF,West Ham,20,14,5,523,5.8,1,0,175.0,right,3300000.0,2020.0
657,Sam Johnstone,ENG,GK,West Brom,27,37,37,3330,37.0,0,1,193.0,right,8800000.0,2020.0
658,Curtis Jones,ENG,MF,Liverpool,19,24,13,1179,13.1,1,2,185.0,right,33000000.0,2020.0
659,Jorginho,ITA,MF,Chelsea,28,28,23,2010,22.3,7,1,180.0,right,44000000.0,2020.0
660,Willian José,BRA,FW,Wolves,28,17,12,1110,12.3,1,0,189.0,right,19800000.0,2020.0
661,Diogo Jota,POR,FW,Liverpool,23,19,12,1112,12.4,9,0,178.0,right,49500000.0,2020.0
662,Diogo Jota,POR,FW,Liverpool,23,19,12,1112,12.4,9,0,178.0,right,49500000.0,2020.0
663,James Justin,ENG,DF,Leicester City,22,23,23,2070,23.0,2,1,183.0,right,18700000.0,2020.0
664,Ozan Kabak,TUR,DF,Liverpool,20,9,9,801,8.9,0,0,186.0,right,27500000.0,2020.0
665,Aboubakar Kamara,MTN,DF,Fulham,25,11,2,315,3.5,0,0,177.0,right,2200000.0,2020.0
666,Harry Kane,ENG,FW,Tottenham,27,35,35,3082,34.2,23,14,188.0,right,132000000.0,2020.0
667,N'Golo Kanté,FRA,MF,Chelsea,29,30,24,2146,23.8,0,2,168.0,right,60500000.0,2020.0
668,Moise Kean,ITA,FW,Everton,20,2,0,15,0.2,0,0,183.0,right,38500000.0,2020.0
669,Michael Keane,ENG,DF,Everton,27,35,33,2991,33.2,3,1,188.0,right,27500000.0,2020.0
670,Neeskens Kebano,COD,MF,Fulham,28,5,1,119,1.3,0,0,170.0,right,1100000.0,2020.0
671,Naby Keïta,GUI,MF,Liverpool,25,10,7,520,5.8,0,0,172.0,right,35200000.0,2020.0
672,Martin Kelly,ENG,DF,Crystal Palace,30,1,0,2,0.0,0,0,191.0,right,1650000.0,2020.0
673,Jonjoe Kenny,ENG,FW,Everton,23,4,1,79,0.9,0,0,176.0,right,6380000.0,2020.0
674,Reda Khadra,GER,FW,Brighton,19,1,0,5,0.1,0,0,175.0,-,165000.0,2020.0
675,Max Kilman,ENG,DF,Wolves,23,18,14,1310,14.6,0,1,192.0,left,4950000.0,2020.0
676,Joshua King,NOR,FW,Everton,28,11,0,148,1.6,0,0,187.0,right,8800000.0,2020.0
677,Joshua King,NOR,FW,Everton,28,11,0,148,1.6,0,0,187.0,right,17600000.0,2020.0
678,Mateusz Klich,POL,MF,Leeds United,30,35,28,2393,26.6,4,5,183.0,right,4400000.0,2020.0
679,Robin Koch,GER,MF,Leeds United,24,17,13,1132,12.6,0,0,191.0,right,18700000.0,2020.0
680,Terence Kongolo,NED,DF,Fulham,26,1,1,90,1.0,0,0,188.0,left,3850000.0,2020.0
681,Ezri Konsa,ENG,DF,Aston Villa,22,36,35,3196,35.5,2,0,183.0,right,27500000.0,2020.0
682,Cheikhou Kouyaté,SEN,DF,Crystal Palace,30,36,35,3121,34.7,1,0,189.0,right,6600000.0,2020.0
683,Emil Krafth,SWE,DF,Newcastle Utd,25,16,14,1288,14.3,1,0,184.0,right,3850000.0,2020.0
684,Alexandre Lacazette,FRA,FW,Arsenal,29,31,22,1923,21.4,13,2,176.0,right,30800000.0,2020.0
685,Adam Lallana,ENG,FW,Brighton,32,30,16,1596,17.7,1,1,172.0,both,4400000.0,2020.0
686,Tariq Lamptey,ENG,DF,Brighton,19,11,11,886,9.8,1,1,163.0,right,19800000.0,2020.0
687,Manuel Lanzini,ARG,FW,West Ham,27,17,5,566,6.3,1,1,167.0,right,11000000.0,2020.0
688,Aymeric Laporte,ESP,DF,Manchester City,26,16,14,1344,14.9,0,0,189.0,left,49500000.0,2020.0
689,Jamaal Lascelles,ENG,DF,Newcastle Utd,26,19,19,1625,18.1,2,0,188.0,right,14300000.0,2020.0
690,Maxime Le Marchand,FRA,DF,Fulham,30,2,1,123,1.4,0,0,185.0,left,1650000.0,2020.0
691,Mario Lemina,GAB,MF,Fulham,26,28,19,1703,18.9,1,0,184.0,right,11000000.0,2020.0
692,Mario Lemina,GAB,MF,Fulham,26,28,19,1703,18.9,1,0,184.0,right,11000000.0,2020.0
693,Bernd Leno,GER,GK,Arsenal,28,35,35,3131,34.8,0,0,190.0,right,24200000.0,2020.0
694,Khanya Leshabela,RSA,MF,Leicester City,20,1,0,10,0.1,0,0,175.0,-,110000.0,2020.0
695,Jamal Lewis,NIR,DF,Newcastle Utd,22,24,20,1837,20.4,0,1,178.0,left,16500000.0,2020.0
696,Jamal Lewis,NIR,DF,Newcastle Utd,22,24,20,1837,20.4,0,1,178.0,left,12100000.0,2020.0
697,Victor Lindelöf,SWE,DF,Manchester Utd,26,29,29,2585,28.7,1,1,187.0,right,26400000.0,2020.0
698,Jesse Lingard,ENG,FW,West Ham,27,16,16,1421,15.8,9,4,174.0,right,24200000.0,2020.0
699,Jesse Lingard,ENG,FW,West Ham,27,16,16,1421,15.8,9,4,174.0,right,24200000.0,2020.0
700,Jake Livermore,ENG,MF,West Brom,30,18,15,1242,13.8,0,0,180.0,right,2750000.0,2020.0
701,Diego Llorente,ESP,DF,Leeds United,26,15,14,1204,13.4,1,0,186.0,right,22000000.0,2020.0
702,Hugo Lloris,FRA,GK,Tottenham,33,38,38,3420,38.0,0,0,188.0,left,9900000.0,2020.0
703,Giovani Lo Celso,ARG,MF,Tottenham,24,18,11,945,10.5,1,1,177.0,left,29700000.0,2020.0
704,Ruben Loftus-Cheek,ENG,FW,Fulham,24,30,21,1909,21.2,1,0,190.0,right,19800000.0,2020.0
705,Ruben Loftus-Cheek,ENG,FW,Fulham,24,30,21,1909,21.2,1,0,190.0,right,19800000.0,2020.0
706,Ruben Loftus-Cheek,ENG,FW,Chelsea,24,1,1,60,0.7,0,0,190.0,right,19800000.0,2020.0
707,Ruben Loftus-Cheek,ENG,FW,Chelsea,24,1,1,60,0.7,0,0,190.0,right,19800000.0,2020.0
708,Kevin Long,IRL,DF,Burnley,29,8,7,637,7.1,0,0,188.0,right,1100000.0,2020.0
709,Shane Long,IRL,FW,Southampton,33,11,1,210,2.3,0,0,180.0,both,1320000.0,2020.0
710,Sean Longstaff,ENG,MF,Newcastle Utd,22,22,15,1412,15.7,0,1,181.0,right,16500000.0,2020.0
711,Ademola Lookman,ENG,MF,Fulham,22,34,31,2747,30.5,4,4,174.0,right,12100000.0,2020.0
712,Max Lowe,ENG,DF,Sheffield Utd,23,8,7,550,6.1,0,0,175.0,left,3300000.0,2020.0
713,Matthew Lowton,ENG,DF,Burnley,31,34,34,3060,34.0,1,1,180.0,right,2750000.0,2020.0
714,David Luiz,BRA,DF,Arsenal,33,20,17,1396,15.5,1,0,189.0,right,4400000.0,2020.0
715,Douglas Luiz,BRA,MF,Aston Villa,22,33,32,2781,30.9,0,2,177.0,right,38500000.0,2020.0
716,John Lundstram,ENG,MF,Sheffield Utd,26,28,23,2032,22.6,0,2,181.0,right,7700000.0,2020.0
717,Alexis Mac Allister,ARG,FW,Brighton,21,21,13,1115,12.4,1,1,174.0,right,11000000.0,2020.0
718,James Maddison,ENG,FW,Leicester City,23,31,24,2099,23.3,8,5,175.0,right,60500000.0,2020.0
719,Harry Maguire,ENG,DF,Manchester Utd,27,34,34,3047,33.9,2,1,194.0,right,49500000.0,2020.0
720,Riyad Mahrez,ALG,FW,Manchester City,29,27,23,1949,21.7,9,6,179.0,left,46200000.0,2020.0
721,Ainsley Maitland-Niles,ENG,MF,West Brom,22,15,14,1230,13.7,0,0,180.0,right,17600000.0,2020.0
722,Ainsley Maitland-Niles,ENG,MF,West Brom,22,15,14,1230,13.7,0,0,180.0,right,17600000.0,2020.0
