,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
92,Eric Dier,ENG,MF,Tottenham,25,19,15,1344,14.9,0,2,188.0,right,24200000.0,2019.0
93,Lucas Digne,FRA,DF,Everton,26,35,35,3030,33.7,0,7,178.0,left,38500000.0,2019.0
94,Virgil van Dijk,NED,DF,Liverpool,28,38,38,3420,38.0,5,1,193.0,right,60500000.0,2019.0
95,Issa Diop,FRA,DF,West Ham,22,32,31,2766,30.7,3,1,194.0,right,19800000.0,2019.0
96,Moussa Djenepo,MLI,DF,Southampton,21,18,10,928,10.3,2,2,177.0,right,14300000.0,2019.0
97,Matt Doherty,IRL,DF,Wolves,27,36,32,2839,31.5,4,3,185.0,right,17600000.0,2019.0
98,Abdoulaye Doucouré,FRA,MF,Watford,26,37,36,3156,35.1,4,2,183.0,right,27500000.0,2019.0
99,Abdoulaye Doucouré,FRA,MF,Watford,26,37,36,3156,35.1,4,2,183.0,right,22000000.0,2019.0
100,Ondrej Duda,SVK,MF,Norwich City,24,10,9,724,8.0,0,0,181.0,right,11550000.0,2019.0
101,Shane Duffy,IRL,DF,Brighton,27,19,12,1238,13.8,1,0,193.0,right,5500000.0,2019.0
102,Paul Dummett,WAL,DF,Newcastle Utd,27,16,14,1228,13.6,0,0,183.0,left,3300000.0,2019.0
103,Lewis Dunk,ENG,DF,Brighton,27,36,36,3230,35.9,3,3,192.0,right,27500000.0,2019.0
104,Ederson,BRA,GK,Manchester City,25,35,35,3071,34.1,0,0,188.0,left,55000000.0,2019.0
105,John Egan,IRL,DF,Sheffield Utd,26,36,36,3187,35.4,2,0,185.0,right,9900000.0,2019.0
106,Harvey Elliott,ENG,DF,Liverpool,16,2,0,8,0.1,0,0,170.0,left,16500000.0,2019.0
107,Ahmed Elmohamady,EGY,DF,Aston Villa,31,18,11,1031,11.5,1,1,182.0,right,1650000.0,2019.0
108,Björn Engels,BEL,DF,Aston Villa,24,17,15,1447,16.1,1,0,194.0,right,3300000.0,2019.0
109,Jonny Evans,NIR,DF,Leicester City,31,38,38,3383,37.6,1,1,188.0,both,7700000.0,2019.0
110,Fabinho,BRA,MF,Liverpool,25,28,22,2079,23.1,2,3,188.0,right,66000000.0,2019.0
111,Ralf Fährmann,GER,GK,Norwich City,30,1,1,21,0.2,0,0,197.0,right,1760000.0,2019.0
112,Akin Famewo,ENG,MF,Norwich City,20,1,0,1,0.0,0,0,188.0,left,28000.0,2019.0
113,Kiko Femenía,ESP,DF,Watford,28,28,26,2237,24.9,0,0,171.0,right,5280000.0,2019.0
114,Bruno Fernandes,POR,MF,Manchester Utd,24,14,14,1186,13.2,8,7,179.0,right,99000000.0,2019.0
115,Gedson Fernandes,POR,DF,Tottenham,20,7,0,68,0.8,0,0,182.0,right,13750000.0,2019.0
116,Federico Fernández,ARG,DF,Newcastle Utd,30,32,29,2620,29.1,2,2,190.0,right,3300000.0,2019.0
117,Fernandinho,BRA,DF,Manchester City,34,30,26,2397,26.6,0,1,179.0,right,2200000.0,2019.0
118,Roberto Firmino,BRA,FW,Liverpool,27,38,34,2988,33.2,9,8,181.0,right,55000000.0,2019.0
119,John Fleck,SCO,MF,Sheffield Utd,27,30,28,2516,28.0,5,2,169.0,left,5500000.0,2019.0
120,Phil Foden,ENG,MF,Manchester City,19,23,9,901,10.0,5,2,171.0,left,88000000.0,2019.0
121,Pablo Fornals,ESP,FW,West Ham,23,36,24,2172,24.1,2,5,178.0,right,19800000.0,2019.0
122,Ben Foster,ENG,GK,Watford,36,38,38,3420,38.0,0,0,193.0,left,1320000.0,2019.0
123,Timothy Fosu-Mensah,NED,DF,Manchester Utd,21,3,2,136,1.5,0,0,185.0,right,4400000.0,2019.0
124,Dimitri Foulquier,FRA,MF,Watford,26,3,1,59,0.7,0,0,183.0,right,2200000.0,2019.0
125,Simon Francis,ENG,DF,Bournemouth,34,15,10,969,10.8,0,0,191.0,right,880000.0,2019.0
126,Ryan Fraser,SCO,FW,Bournemouth,25,28,21,2067,23.0,1,4,163.0,right,11000000.0,2019.0
127,Ryan Fraser,SCO,FW,Bournemouth,25,28,21,2067,23.0,1,4,163.0,right,19250000.0,2019.0
128,Fred,BRA,MF,Manchester Utd,26,29,23,2163,24.0,0,0,169.0,left,24200000.0,2019.0
129,Ryan Fredericks,ENG,DF,West Ham,26,27,25,2237,24.9,0,3,181.0,right,2750000.0,2019.0
130,Luke Freeman,ENG,MF,Sheffield Utd,27,11,3,366,4.1,0,0,176.0,left,2200000.0,2019.0
131,Christian Fuchs,AUT,DF,Leicester City,33,11,8,772,8.6,0,0,187.0,left,880000.0,2019.0
