,Player,Age,MP,Starts,Min,90s,Gls,Ast,Height,Market Value,Year,Foot_both,Foot_left,Foot_right,Pos_x_DF,Pos_x_FW,Pos_x_GK,Pos_x_MF,Squad_OTHER,Squad_TOP_6,Nation_BRTSH,Nation_EU,Nation_WORLD
126,Ryan Fraser,25,28,21,2067,23.0,1,4,163.0,11000000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
127,Ryan Fraser,25,28,21,2067,23.0,1,4,163.0,19250000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
128,Fred,26,29,23,2163,24.0,0,0,169.0,24200000.0,2019.0,0,1,0,0,0,0,1,0,1,0,0,1
129,Ryan Fredericks,26,27,25,2237,24.9,0,3,181.0,2750000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
130,Luke Freeman,27,11,3,366,4.1,0,0,176.0,2200000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
131,Christian Fuchs,33,11,8,772,8.6,0,0,187.0,880000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
132,Eric García,18,13,8,793,8.8,0,0,182.0,22000000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
133,Dwight Gayle,28,20,10,850,9.4,4,2,174.0,4400000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
134,Paulo Gazzaniga,27,18,17,1613,17.9,0,0,196.0,3300000.0,2019.0,0,0,1,0,0,1,0,0,1,0,0,1
135,Jean-Philippe Gbamin,23,2,1,136,1.5,0,0,186.0,16500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
136,David de Gea,28,38,38,3420,38.0,0,0,189.0,19800000.0,2019.0,0,0,1,0,0,1,0,0,1,0,1,0
137,Anwar El Ghazi,24,34,26,2051,22.8,4,4,189.0,14300000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
138,Morgan Gibbs-White,19,7,1,129,1.4,0,0,178.0,7700000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
139,Billy Gilmour,18,6,2,194,2.2,0,0,170.0,11000000.0,2019.0,0,0,1,0,0,0,1,0,1,1,0,0
140,Olivier Giroud,32,18,12,993,11.0,8,0,193.0,4400000.0,2019.0,0,1,0,0,1,0,0,0,1,0,1,0
141,Ben Godfrey,21,30,30,2644,29.4,0,0,186.0,27500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
142,Ben Godfrey,21,30,30,2644,29.4,0,0,186.0,12650000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
143,André Gomes,26,19,17,1458,16.2,0,1,188.0,22000000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
144,Joe Gomez,22,28,22,2004,22.3,0,0,188.0,33000000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
145,Anthony Gordon,18,11,4,440,4.9,0,1,182.0,5500000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
146,Dan Gosling,29,24,14,1264,14.0,3,1,180.0,2200000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
